cd_orgao,nr_licitacao,ano_licitacao,nr_contrato,ano_contrato,nr_item,qt_itens_contrato,vl_item_contrato,vl_total_item_contrato
61800,2,2017,73,2017,12,2370,2.95,6991.5
61800,2,2017,73,2017,13,315,11.7,3685.5
61800,2,2017,73,2017,14,3700,1.88,6956
61800,2,2017,73,2017,15,710,5.63,3997.3
61800,2,2017,73,2017,16,480,3,1440
61800,2,2017,73,2017,17,1420,15.74,22350.8
61800,2,2017,73,2017,18,300,15.1,4530
61800,2,2017,73,2017,19,300,15.1,4530
77300,59,2017,127,2017,1,260,4.58,1190.8
77300,59,2017,127,2017,2,1988,2.88,5725.44
77300,59,2017,128,2017,3,574,7.63,4379.62
77300,59,2017,128,2017,4,66,5.91,390.06
77300,59,2017,128,2017,5,156,2.85,444.6
49400,1,2017,16,2017,6,128,18,2304
49400,1,2017,15,2017,1,156,4.49,700.44
49400,1,2017,15,2017,2,624,2.25,1404
49400,1,2017,15,2017,8,78,2.25,175.5
49400,1,2017,15,2017,11,221,2.99,660.79
49400,1,2017,15,2017,13,54,4.49,242.46
49400,1,2017,15,2017,16,273,4.74,1294.02
77300,59,2017,125,2017,6,49,1.89,92.61
77300,59,2017,125,2017,7,300,2.38,714
56200,1,2017,124,2017,9,150,6.7,1005
56200,1,2017,124,2017,19,50,4,200
56200,1,2017,126,2017,13,300,3.1,930
56200,1,2017,126,2017,14,400,4,1600
56200,1,2017,126,2017,16,20,22,440
56200,1,2017,125,2017,7,100,3.15,315
56200,1,2017,121,2017,7,100,3.15,315
56200,1,2017,121,2017,11,100,10,1000
56200,1,2017,121,2017,12,200,7.3,1460
56200,1,2017,121,2017,19,50,4,200
56200,1,2017,122,2017,1,180,1.14,205.2
56200,1,2017,122,2017,2,100,1.14,114
56200,1,2017,122,2017,3,100,3,300
56200,1,2017,122,2017,4,100,3,300
56200,1,2017,122,2017,5,80,3.5,280
56200,1,2017,122,2017,6,240,3,720
56200,1,2017,122,2017,8,350,3.7,1295
56200,1,2017,122,2017,10,80,3,240
88025,2,2017,40,2017,1,46,2.4,110.4
88025,2,2017,40,2017,6,130,2.19,284.7
84800,1,2017,28,2017,5,286,12,3432
56200,1,2017,123,2017,17,300,1.25,375
56200,1,2017,123,2017,18,600,1.25,750
88025,2,2017,38,2017,2,120,4.2,504
88025,2,2017,38,2017,3,540,2.42,1306.8
88025,2,2017,38,2017,4,40,2.39,95.6
88025,2,2017,38,2017,5,215,1.92,412.8
88025,2,2017,38,2017,7,70,1.99,154
88025,2,2017,38,2017,8,45,2.45,110.25
88025,2,2017,38,2017,9,110,2.65,291.5
88025,2,2017,38,2017,10,34,2.1,71.4
88025,2,2017,38,2017,14,130,3.09,401.7
88025,2,2017,39,2017,11,90,7.5,675
88025,2,2017,39,2017,12,35,17,595
88025,2,2017,39,2017,13,30,7.5,225
55700,10,2017,91,2017,2,100,6.5,650
55700,10,2017,91,2017,26,100,14,1400
55700,10,2017,73,2017,3,27.5,5,137.5
55700,10,2017,73,2017,5,80,1.5,120
55700,10,2017,73,2017,6,77,2,154
55700,10,2017,73,2017,10,72,4.59,330.48
55700,10,2017,73,2017,11,89,1.2,106.8
55700,10,2017,73,2017,12,53,3.26,172.78
55700,10,2017,73,2017,13,60,5.17,310.2
55700,10,2017,73,2017,19,17,1.99,33.83
55700,10,2017,73,2017,20,50,1.12,56
55700,10,2017,73,2017,23,12,8,96
55700,10,2017,73,2017,24,625,2.82,1762.5
55700,10,2017,73,2017,25,21,7,147
55700,10,2017,73,2017,28,40,1.5,60
55700,10,2017,73,2017,29,40,1.5,60
55700,10,2017,73,2017,35,100,14.03,1403
55700,10,2017,73,2017,36,100,2.59,259
55700,10,2017,81,2017,3,27,5,135
55700,10,2017,81,2017,6,77,2,154
55700,10,2017,81,2017,7,85,5.56,472.6
55700,10,2017,81,2017,8,308,2.04,628.32
55700,10,2017,75,2017,3,27,5,135
55700,10,2017,75,2017,5,80,1.5,120
55700,10,2017,75,2017,6,77,2,154
55700,10,2017,75,2017,7,86,5.56,478.16
55700,10,2017,75,2017,8,308,2.04,628.32
55700,10,2017,75,2017,9,150,2.11,316.5
55700,10,2017,75,2017,10,73,4.59,335.07
55700,10,2017,75,2017,11,89,1.2,106.8
55700,10,2017,75,2017,12,53,3.26,172.78
55700,10,2017,75,2017,13,60,5.17,310.2
55700,10,2017,75,2017,14,25,9,225
55700,10,2017,75,2017,16,59,1.5,88.5
55700,10,2017,75,2017,18,25,3.57,89.25
55700,10,2017,75,2017,19,17,1.99,33.83
55700,10,2017,75,2017,20,50,1.12,56
55700,10,2017,75,2017,21,30,1.62,48.6
55700,10,2017,75,2017,22,5,9.83,49.15
55700,10,2017,75,2017,23,11.5,8,92
55700,10,2017,75,2017,24,625,2.82,1762.5
55700,10,2017,75,2017,25,22,7,154
55700,10,2017,75,2017,28,40,1.5,60
55700,10,2017,75,2017,29,40,1.5,60
55700,10,2017,75,2017,30,87.5,1,87.5
55700,10,2017,75,2017,31,28.5,1.5,42.75
55700,10,2017,75,2017,33,125,1,125
55700,10,2017,75,2017,34,66.5,2.56,170.24
55700,10,2017,75,2017,38,84,3,252
56900,2,2017,42,2017,20,4960,22.76,112889.6
51000,3,2017,53,2017,2,150,2.23,334.5
51000,3,2017,53,2017,3,30,3.78,113.4
51000,3,2017,53,2017,4,480,2.38,1142.4
51000,3,2017,53,2017,10,210,5.41,1136.1
51000,3,2017,53,2017,12,2160,2.58,5572.8
51000,3,2017,53,2017,13,500,3.43,1715
51000,3,2017,53,2017,15,220,3.21,706.2
55700,10,2017,81,2017,9,150,2.11,316.5
55700,10,2017,81,2017,10,72,4.59,330.48
55700,10,2017,81,2017,11,89,1.2,106.8
55700,10,2017,81,2017,12,53,3.26,172.78
55700,10,2017,81,2017,20,50,1.12,56
55700,10,2017,81,2017,23,11.5,8,92
55700,10,2017,81,2017,25,22,7,154
55700,10,2017,81,2017,29,40,1.5,60
55700,10,2017,81,2017,30,87.5,1,87.5
55700,10,2017,82,2017,45,1600,2.89,4624
55700,10,2017,82,2017,46,5000,2.6,13000
55700,10,2017,87,2017,40,1000,16.5,16500
55700,10,2017,92,2017,3,27.5,5,137.5
55700,10,2017,92,2017,4,16,21,336
55700,10,2017,92,2017,5,80,1.5,120
55700,10,2017,92,2017,6,77,2,154
55700,10,2017,92,2017,7,86,5.56,478.16
55700,10,2017,92,2017,8,308,2.04,628.32
55700,10,2017,92,2017,9,150,2.11,316.5
55700,10,2017,92,2017,10,73,4.59,335.07
55700,10,2017,92,2017,11,89,1.2,106.8
55700,10,2017,92,2017,12,53,3.26,172.78
55700,10,2017,92,2017,13,60,5.17,310.2
55700,10,2017,92,2017,14,25,9,225
55700,10,2017,92,2017,16,59,1.5,88.5
55700,10,2017,74,2017,41,100,11.94,1194
55700,10,2017,74,2017,42,250,15.24,3810
55700,10,2017,74,2017,43,250,16.8,4200
55700,10,2017,74,2017,44,100,12.59,1259
55700,10,2017,84,2017,45,1600,2.89,4624
55700,10,2017,84,2017,46,5000,2.6,13000
55700,10,2017,92,2017,18,25,3.57,89.25
55700,10,2017,92,2017,19,17,1.99,33.83
55700,10,2017,92,2017,20,50,1.12,56
55700,10,2017,92,2017,21,30,1.62,48.6
55700,10,2017,92,2017,22,5,9.83,49.15
55700,10,2017,92,2017,23,11.5,8,92
55700,10,2017,92,2017,24,625,2.82,1762.5
55700,10,2017,92,2017,25,22,7,154
55700,10,2017,92,2017,28,40,1.5,60
55700,10,2017,92,2017,29,40,1.5,60
55700,10,2017,92,2017,30,87.5,1,87.5
