id_estado,cd_orgao,nr_lote,nr_licitacao,ano_licitacao,nr_contrato,ano_contrato,nr_item,qt_itens_contrato,vl_item_contrato,vl_total_item_contrato
43,56700,1,2,2017,119,2017,14,50,11.9,595
43,56700,1,2,2017,119,2017,15,1200,2.93,3516
43,56700,1,2,2017,119,2017,18,40,10.05,402
43,70200,1,2,2017,90,2017,5,50,3,150
43,70200,1,2,2017,90,2017,2,60,3.25,195
43,70200,1,2,2017,90,2017,13,30,2.95,88.5
43,70200,1,2,2017,90,2017,14,30,2,60
43,70200,1,2,2017,90,2017,17,20,2,40
43,70200,1,2,2017,90,2017,35,30,2,60
43,44100,1,2,2017,121,2017,3,150,6.23,934.5
43,44100,1,2,2017,121,2017,19,200,6.23,1246
43,70200,1,2,2017,86,2017,3,80,1.6,128
43,70200,1,2,2017,86,2017,11,20,2.57,51.4
43,70200,1,2,2017,86,2017,30,20,3.59,71.8
43,70200,1,2,2017,86,2017,32,15,7,105
43,70200,1,2,2017,86,2017,33,50,2.69,134.5
43,70200,1,2,2017,86,2017,34,20,3.3,66
43,70200,1,2,2017,86,2017,37,30,4.6,138
43,70200,1,2,2017,90,2017,36,25,4.15,103.75
43,70200,1,2,2017,90,2017,38,10,4,40
43,71300,1,2,2017,30,2017,4,6.6,27.8,183.48
43,71300,1,2,2017,30,2017,6,119,2.05,243.95
43,71300,1,2,2017,30,2017,7,163,2.05,334.15
43,71300,1,2,2017,30,2017,8,134,2.05,274.7
43,71300,1,2,2017,30,2017,11,371.5,2.51,932.47
43,71300,1,2,2017,30,2017,17,894,1.83,1636.02
43,71300,1,2,2017,30,2017,18,170,2,340
43,71300,1,2,2017,30,2017,19,436,2.3,1002.8
43,71300,1,2,2017,30,2017,20,53.5,8.94,478.29
43,71300,1,2,2017,30,2017,21,213,8,1704
43,71300,1,2,2017,33,2017,30,37.8,10.72,405.22
43,71300,1,2,2017,33,2017,31,9.8,9.95,97.51
43,85900,1,3,2017,68,2017,6,300,3.3,990
43,70200,1,2,2017,84,2017,11,20,2.57,51.4
43,70200,1,2,2017,84,2017,19,150,2,300
43,70200,1,2,2017,84,2017,20,20,2,40
43,70200,1,2,2017,84,2017,23,300,0.75,225
43,70200,1,2,2017,84,2017,24,40,3.47,138.8
43,70200,1,2,2017,84,2017,31,50,3.58,179
43,70200,1,2,2017,84,2017,38,10,4,40
43,70200,1,2,2017,89,2017,21,50,8.1,405
43,70200,1,2,2017,89,2017,28,50,6.3,315
43,70200,1,2,2017,89,2017,29,100,5.49,549
43,56700,1,2,2017,120,2017,1,465,2.24,1041.6
43,56700,1,2,2017,120,2017,12,257,4.82,1238.74
43,56700,1,2,2017,120,2017,13,381,2,762
43,56700,1,2,2017,120,2017,16,75,8.95,671.25
43,56700,1,2,2017,120,2017,17,75,7.45,558.75
43,44100,1,2,2017,128,2017,13,105,5.9,619.5
43,44100,1,2,2017,128,2017,25,266,5.9,1569.4
43,44100,1,2,2017,123,2017,2,300,6.68,2004
43,44100,1,2,2017,123,2017,18,150,6.68,1002
43,44100,1,2,2017,124,2017,1,500,3.05,1525
43,44100,1,2,2017,124,2017,15,800,3.05,2440
43,59600,1,2,2017,47,2017,6,300,2.26,678
43,59600,1,2,2017,47,2017,18,400,2.53,1012
43,42800,1,2611,2017,4780,2017,3,1000,2,2000
43,71700,1,12,2017,59,2017,5,45,16.4,738
43,71700,1,12,2017,59,2017,6,8,16.4,131.2
43,71700,1,12,2017,59,2017,7,63,16.4,1033.2
43,71700,1,12,2017,59,2017,8,43,16.4,705.2
43,71700,1,12,2017,59,2017,9,8,16.4,131.2
43,71700,1,12,2017,56,2017,17,400,5,2000
43,72900,1,2,2017,78,2017,16,60,6,360
43,44100,1,2,2017,131,2017,8,157.5,18.3,2882.25
43,44100,1,2,2017,131,2017,12,60,19.7,1182
43,85900,1,3,2017,67,2017,1,95,4.3,408.5
43,85900,1,3,2017,67,2017,2,110,3.3,363
43,85900,1,3,2017,67,2017,3,90,2,180
43,85900,1,3,2017,67,2017,4,120,2,240
43,85900,1,3,2017,67,2017,5,85,1.8,153
43,85900,1,2,2017,65,2017,5,1120,6.35,7112
43,44100,1,2,2017,126,2017,5,105,1.9,199.5
43,44100,1,2,2017,126,2017,6,90,2.91,261.9
43,44100,1,2,2017,126,2017,11,195,1.76,343.2
43,44100,1,2,2017,126,2017,14,60,2.9,174
43,44100,1,2,2017,126,2017,21,266,1.9,505.4
43,44100,1,2,2017,126,2017,22,189,2.91,549.99
43,44100,1,2,2017,126,2017,26,175,2.9,507.5
43,71700,1,12,2017,57,2017,18,96,25,2400
43,69600,1,2,2017,42,2017,36,5000,0.8,4000
43,69600,1,2,2017,42,2017,37,200,8,1600
43,59600,1,2,2017,48,2017,6,300,2.26,678
43,59600,1,2,2017,48,2017,18,400,2.53,1012
43,60500,1,2,2017,93,2017,1,428,2.28,975.84
43,60500,1,2,2017,93,2017,2,235,3.04,714.4
43,60500,1,2,2017,93,2017,3,157,3.4,533.8
43,60500,1,2,2017,93,2017,4,177,7.7,1362.9
43,60500,1,2,2017,93,2017,5,167,3.44,574.48
43,60500,1,2,2017,93,2017,6,167,7.3,1219.1
43,60500,1,2,2017,93,2017,7,150,6.24,936
43,60500,1,2,2017,93,2017,8,295,4.2,1239
43,60500,1,2,2017,93,2017,9,24,21.29,510.96
43,60500,1,2,2017,93,2017,10,207,2.54,525.78
43,60500,1,2,2017,93,2017,11,305,6.25,1906.25
43,60500,1,2,2017,93,2017,12,150,26.05,3907.5
43,60500,1,2,2017,93,2017,13,220,1.95,429
43,60500,1,2,2017,93,2017,14,192,2.21,424.32
43,60500,1,2,2017,93,2017,15,5650,0.52,2938
43,60500,1,2,2017,93,2017,16,420,5.65,2373
43,70200,1,2,2017,85,2017,4,40,2.5,100
43,70200,1,2,2017,85,2017,7,50,3,150
43,70200,1,2,2017,85,2017,9,40,3.93,157.2
43,70200,1,2,2017,85,2017,12,40,2.83,113.2
43,70200,1,2,2017,85,2017,15,40,4.6,184
43,70200,1,2,2017,85,2017,22,40,4.91,196.4
43,79200,1,2,2017,59,2017,11,60,6.25,375
43,79200,1,2,2017,57,2017,14,8,22.15,177.2
43,79200,1,2,2017,57,2017,15,40,2.8,112
43,79200,1,2,2017,57,2017,18,20,21.5,430
43,79200,1,2,2017,62,2017,19,80,9.9,792
43,79200,1,2,2017,60,2017,20,80,14.3,1144
43,79200,1,2,2017,62,2017,22,30,7.4,222
43,79200,1,2,2017,62,2017,24,30,10,300
43,79200,1,2,2017,62,2017,25,600,2,1200
43,79200,1,2,2017,60,2017,27,40,8,320
43,79200,1,2,2017,60,2017,28,80,9,720
43,79200,1,2,2017,59,2017,29,140,4,560
43,79200,1,2,2017,59,2017,32,10,12.5,125
43,79200,1,2,2017,59,2017,1,50,5.74,287
43,79200,1,2,2017,61,2017,2,160,2.77,443.2
43,79200,1,2,2017,57,2017,3,80,3.78,302.4
43,79200,1,2,2017,57,2017,5,140,3.3,462
43,79200,1,2,2017,61,2017,6,50,3.9,195
43,79200,1,2,2017,62,2017,7,60,17.8,1068
43,79200,1,2,2017,59,2017,9,40,4.1,164
43,79200,1,2,2017,57,2017,10,40,4.1,164
43,79200,1,2,2017,58,2017,4,20,22.5,450
43,79200,1,2,2017,58,2017,30,450,2,900
43,79200,1,2,2017,58,2017,23,30,14.15,424.5
