cnpj_cei,razao_social,natureza_juridica,cnae_2_0_classe_2,cep_estab,porte_estabelecimento,tamanho_estabelecimento,qtd_vinculos_ativos,nome_socio,qualificacao_socio,munic_contrato_vigente,munic_contrato_expirado
21.976.459/0001-03,SUCOS IRMAOS RABAIOLI LTDA ME                     ,Sociedade Qt Ltda,Fabrica��o de Sucos,95885-000,Microempresa,0 Empregado,0,"Ibanor Rabaioli                                                                                                                                              , Lenir Cagol Rabaioli                                                                                                                                         , Marcelo Rabaioli                                                                                                                                             , Marciano Rabaioli                                                                                                                                            ","Sócio, Sócio, Sócio-Administrador, Sócio-Administrador",Poço das Antas,Salvador do Sul
73.698.367/0001-02,COOPERATIVA DOS AGRICULTORES DE SANTO CRISTO LTDA  ,Cooperativa,Atividades de Apoio,98960-000,Outros,De 20 a 49,26,"Eliseu Luis Stein                                                                                                                                            , Jorge Luiz Nonnemacher                                                                                                                                       , Walmir Jose Meinerz                                                                                                                                          ","Diretor, Presidente, Diretor",Santo Cristo,Santo Cristo
04.983.476/0001-40,COOPSUL ECOLOGICA AGRICFAMILLTDA                ,Cooperativa,Com�rcio Atacadista,96010-140,Outros,De 5 a 9,7,"Andreia Voss Normberg                                                                                                                                        , Denise Peter Pokojewski                                                                                                                                      , Ealaine Ehlert Pollnow                                                                                                                                       , Edmilson Hartwig Bartz                                                                                                                                       , Julio Watthier                                                                                                                                               , Loro Natal Bender Bozembecker                                                                                                                                , Marigaiane De Medeiros                                                                                                                                       ","Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Presidente","Turuçu, Capão do Leão, Pelotas",Pelotas
09.499.014/0001-76,COOP ATIV INDARTAGRICFAMTURUCU               ,Cooperativa,Com�rcio Varejista d,96148-000,Outros,De 1 a 4,3,"Delia Maria Seus Milbrath                                                                                                                                    , Vera Tuchtenhagen                                                                                                                                            , Veronica Christ Tuchtenhagen                                                                                                                                 ","Diretor, Presidente, Diretor",Turuçu,
15.159.381/0001-23,COOP AGROPEC DE ARROIO DO PADRE COOPAP             ,Cooperativa,Com�rcio Atacadista,96155-000,Outros,0 Empregado,0,"Carlos Gustavo Lapschies                                                                                                                                     , Olavo Guths Ott                                                                                                                                              ","Presidente, Diretor","Pedro Osório, Jaguarão, Capão do Leão, Arroio do Padre, Turuçu","Capão do Leão, Arroio do Padre"
08.394.739/0001-37,COOPDA AGRICFAMILIAR DE RESTINGA SECA            ,Cooperativa,Atividades de Associ,97200-000,Outros,0 Empregado,0,"Jose Luciano Wollmann                                                                                                                                        , Merquides Roberto Pauletto                                                                                                                                   , Odete Maria Belladona Machado                                                                                                                                ","Diretor, Presidente, Diretor","Formigueiro, Restinga Seca, Nova Palma","São Pedro do Sul, Restinga Seca, Formigueiro"
89.305.239/0005-07,COOP DOS SUINOCULTORES DE ENCANTADO LTDA           ,Cooperativa,Fabrica��o de Latic�,95940-000,Outros,De 100 a 249,173,,,Encantado,"Lajeado, Igrejinha"
94.890.266/0001-09,COOPERATIVA MISTA DOS PEQUENOS AGRICULTORES DA REGIA,Cooperativa,Atividades de Apoio,96170-000,Outros,De 20 a 49,47,"Amilton Strelow                                                                                                                                              , Daniel Francisco Lemke                                                                                                                                       , Edegar Geri Rehbein                                                                                                                                          , Eduardo Krumreich Thurow                                                                                                                                     , Eno Knopp                                                                                                                                                    , Helio Gilberto Hax                                                                                                                                           , Ingo Seefeldt                                                                                                                                                , Jairo Becker                                                                                                                                                 , Joao Carlos Bosenbecker                                                                                                                                      , Jose Sidney Nunes De Almeida                                                                                                                                 , Leia Neutzling Ritter                                                                                                                                        , Marcio Joel Bartz                                                                                                                                            , Nelcido Bubolz                                                                                                                                               , Nildo Rutz                                                                                                                                                   , Renato Voigt                                                                                                                                                 , Zilmar Caetano De Almeida                                                                                                                                    ","Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Presidente","Turuçu, Arroio do Padre",Arroio do Padre
07.485.034/0001-62,MIRIAN ROZANE BRITTO DA COSTA                      ,Firma Mercantil Indi,Fabrica��o de Produt,96170-000,Microempresa,0 Empregado,0,,,Turuçu,
14.789.447/0001-04,TORRI & TORRI LTDA ME                              ,Sociedade Qt Ltda,Fabrica��o de Sucos,97195-000,Microempresa,0 Empregado,0,"Arnaldo Torri                                                                                                                                                , Rafael Munari Torri                                                                                                                                          ","Sócio, Sócio-Administrador","Nova Palma, São Vicente do Sul, São Sepé, Faxinal do Soturno",Nova Palma
09.341.805/0001-73,ASSOCIACAO REMANESCENTE QUILOMBO VOVO ISABEL       ,Outras Organiza��es,Atividades de Associ,97250-000,Outros,0 Empregado,0,"Flavio Moreira                                                                                                                                               , Marcos Antonio Salatiel De Souza                                                                                                                             ","Presidente, Diretor",Nova Palma,
11.396.328/0001-95,COOPERATIVA UNIAO DOS AGRICULTORES FAMIL           ,Cooperativa,Com�rcio Atacadista,96600-000,Outros,De 5 a 9,8,"Edenir Fonseca Duarte                                                                                                                                        , Fabris Cardoso Prestes                                                                                                                                       , Iasmin Roloff Rutz                                                                                                                                           , Ivo Gilberto Scheunemann                                                                                                                                     ","Diretor, Presidente, Diretor, Diretor","Jaguarão, Pedro Osório, Caçapava do Sul",
11.185.973/0001-69,COOPERATIVA REGIONAL DE ALIMENTOS SANTA            ,Cooperativa,Atividades de Apoio,96816-330,Outros,De 1 a 4,2,"Carlos Eduardo Waechter                                                                                                                                      , Cassio Benito Baptista                                                                                                                                       , Sergio Luiz Reis                                                                                                                                             ","Diretor, Diretor, Diretor",Vera Cruz,Vera Cruz
17.821.228/0001-45,COOP MISTA AGRIC FAMILIARES DE VERA CRUZ COOPERVEC ,Cooperativa,Com�rcio Atacadista,96880-000,Outros,0 Empregado,0,"Airton Romeu Mueller                                                                                                                                         , Irineu Wagner                                                                                                                                                ","Presidente, Diretor","Vera Cruz, Vale do Sol","Vera Cruz, Vale do Sol"
89.774.160/0001-00,COOPERATIVA LANGUIRU LTDA                          ,Cooperativa,"Abate de Su�nos, Ave",95890-000,Outros,De 50 a 99,89,"Dirceu Bayer                                                                                                                                                 , Flavio Joao Walter                                                                                                                                           ","Presidente, Diretor","Vera Cruz, Sertão Santana","Santo Augusto, Sertão Santana, Humaitá"
88.587.357/0024-55,COOPERATIVA SANTA CLARA LTDA                       ,Cooperativa,Com�rcio Varejista d,95335-000,Outros,De 10 a 19,15,,,Cotiporã,Cotiporã
,,,,NA-NA,,,,"Alex Scalco                                                                                                                                                  , Jadir Foppa                                                                                                                                                  ","Presidente, Diretor","dois Lajeados, Vespasiano Corrêa, Camargo, União da Serra, Nova Araçá, Marau, Serafina Corrêa","Nova Alvorada, Marau, São Valentim do Sul, União da Serra, dois Lajeados, Nova Araçá, Vespasiano Corrêa, Paraí, doutor Ricardo"
10.264.853/0001-94,FABIO BAGGIO & CIA LTDA                            ,Sociedade Qt Ltda,Fabrica��o de Sucos,99220-000,Microempresa,De 1 a 4,1,"Ermelinda Gasparetto Baggio                                                                                                                                  , Fabio Baggio                                                                                                                                                 ","Sócio, Sócio-Administrador","dois Lajeados, Boa Vista do Sul, São Valentim do Sul, União da Serra, Capitão","Vespasiano Corrêa, União da Serra, Encantado, dois Lajeados"
06.101.295/0001-79,F FOPPA AGROINDUSTRIA E SERVICOS  ME               ,Firma Mercantil Indi,Fabrica��o de Conser,95185-000,Microempresa,0 Empregado,0,"Flavio Foppa                                                                                                                                                 , Ronei Foppa                                                                                                                                                  ","Sócio, Sócio-Administrador",Carlos Barbosa,
05.047.086/0001-21,COOPERATIVA DE PRODUCAO E CONSUMO FAMILIAR NOSSA TER,Cooperativa,Com�rcio Varejista d,99709-436,Outros,De 5 a 9,8,"Adelmir Gaiardo                                                                                                                                              , Jose Martins Dos Santos                                                                                                                                      , Marino Slongo                                                                                                                                                ","Presidente, Diretor, Diretor","Centenário, Coxilha, Carlos Gomes, Rio Grande","Erechim, Centenário, Caxias do Sul"
14.034.692/0001-01,LEILA TERESINHA SESTARI GUERRA                     ,Firma Mercantil Indi,Fabrica��o de Sucos,98500-000,Microempresa,0 Empregado,0,,,"Tenente Portela, derrubadas, Vista Gaúcha",Tenente Portela
90.049.156/0001-50,COOPERATIVA VINICOLA GARIBALDI LTDA                ,Cooperativa,Fabrica��o de Vinho,95720-000,Outros,De 100 a 249,180,"Matheus Marodin                                                                                                                                              , Oscar Lo                                                                                                                                                     , Vanderlei Berra                                                                                                                                              ","Diretor, Presidente, Diretor","Boa Vista do Sul, Caxias do Sul, Rio Grande, Garibaldi","Boa Vista do Sul, Caxias do Sul"
21.850.845/0001-46,AGROINDUSTRIA POLPAS DE FRUTAS CITRICAS DO ABREU LTD,Sociedade Qt Ltda,Fabrica��o de Conser,98920-000,Microempresa,0 Empregado,0,"Joao Carlos De Abreu                                                                                                                                         , Odite Dalla Vechia Abreu                                                                                                                                     ","Sócio-Administrador, Sócio-Administrador","Boa Vista do Buricá, Campo Novo",Boa Vista do Buricá
88.587.357/0005-92,COOPERATIVA SANTA CLARA LTDA                       ,Cooperativa,"Abate de Su�nos, Ave",95185-000,Outros,De 100 a 249,226,,,"Carlos Barbosa, Barão, Nova Bréscia, São Vendelino, Santo Augusto, Garibaldi, Serafina Corrêa","São Vendelino, Putinga, Santo Augusto"
05.728.869/0001-70,INDUSTRIA DE SUCOS PUTINGUENSE LTDA                ,Sociedade Qt Ltda,Fabrica��o de Sucos,95975-000,Microempresa,0 Empregado,0,"Jenir Polese                                                                                                                                                 , Norberto Polese                                                                                                                                              ","Sócio, Sócio-Administrador","Relvado, Putinga, doutor Ricardo","Putinga, Relvado, doutor Ricardo"
10.378.011/0001-63,COOP DOS PROD RURAIS  AGRIC FAMILIAR FW            ,Cooperativa,Com�rcio Varejista d,98400-000,Outros,De 1 a 4,1,"Clarice Magalski                                                                                                                                             , Vanderlei Zonta                                                                                                                                              ","Diretor, Presidente","Seberi, Jaboticaba, Erval Seco","Erval Seco, Seberi, Jaboticaba, Taquaruçu do Sul"
09.014.609/0001-94,COOPERATIVA MISTA DE PROD EXTREMO NORTE           ,Cooperativa,Com�rcio Atacadista,98480-000,Outros,0 Empregado,0,"Cesar Luiz Zuzelski                                                                                                                                          , Juciane Pilatti Baronio                                                                                                                                      , Wagner Rogerio Bohn                                                                                                                                          ","Diretor, Diretor, Presidente",Planalto,Planalto
05.904.624/0001-57,COOPERATIVA CENTRAL DA AGRICULTURA FAMILIAR LTDA   ,Cooperativa,Com�rcio Varejista d,98780-765,Outros,De 5 a 9,5,"Luis Blasio Wammes                                                                                                                                           , Paulo Kreutz                                                                                                                                                 ","Diretor, Presidente","Santo Cristo, Santa Rosa, Três de Maio","Três de Maio, Santa Rosa"
12.448.006/0001-05,SILVONEI ZANON                                     ,Firma Mercantil Indi,Fabrica��o de Sucos,95360-000,Microempresa,0 Empregado,0,,,André da Rocha,"Casca, Vanini, Capão Bonito do Sul, André da Rocha"
03.034.075/0001-81,COOPERATIVA DE PRODUCAO AGROPECUARIA TERRA E VIDA LT,Cooperativa,Com�rcio Varejista d,99950-000,Outros,De 10 a 19,10,"Evaldo Gaiardo                                                                                                                                               , Rafael Borille                                                                                                                                               ","Diretor, Presidente","Ibiaçá, Caseiros, Passo Fundo, Água Santa, Vila Lângaro, Santa Cecília do Sul","Charrua, Água Santa, Vila Lângaro, Santa Cecília do Sul, Ibiaçá, Coxilha"
03.834.521/0001-32,INDUSTRIA DE DOCES E CONSERVAS KINKAS LTDA         ,Sociedade Qt Ltda,Fabrica��o de Conser,98380-000,Microempresa,0 Empregado,0,"Gladis Therezinha Pegoraro                                                                                                                                   , Wilson De Freitas Martins                                                                                                                                    ","Sócio-Administrador, Sócio","Seberi, Jaboticaba","Seberi, Jaboticaba"
09.488.055/0001-67,COOPIVORA                                          ,Cooperativa,Atividades de Apoio,98160-000,Outros,0 Empregado,0,"Acemar Joao De Gregori                                                                                                                                       , Charleston Wilson De Vargas Lourenco                                                                                                                         , Josemar Jose Copetti                                                                                                                                         ","Diretor, Presidente, Diretor",São Vicente do Sul,
02.701.335/0001-62,SALETE MARIA GASPERIN E CIA LTDA                   ,Sociedade Qt Ltda,Fabrica��o de Massas,95185-000,Microempresa,De 10 a 19,12,"Salete Maria Gasperin Dalsin                                                                                                                                 , Tiago Gasperin Dalsin                                                                                                                                        ","Sócio, Sócio-Administrador","Carlos Barbosa, Garibaldi",
07.635.210/0002-86,COOPERATIVA REG PRODUTORES ECOLOGISTAS LIT NORTE RS,Cooperativa,Com�rcio Atacadista,95240-000,Outros,De 1 a 4,1,,,Protásio Alves,Protásio Alves
20.087.710/0001-08,ASSOC DE PEQ PROD DA AGROIND FAMILIAR PASSO DA CLARA,Outras Organiza��es,Atividades de Associ,97400-000,Outros,0 Empregado,0,Gelson Antonio Lehnhart                                                                                                                                      ,Presidente,Toropi,Toropi
