cnpj_cei,razao_social,natureza_juridica,cnae_2_0_classe_2,cep_estab,porte_estabelecimento,tamanho_estabelecimento,qtd_vinculos_ativos,nome_socio,qualificacao_socio,munic_contrato_vigente,munic_contrato_expirado
88.587.357/0030-01,COOPERATIVA SANTA CLARA LTDA                       ,Cooperativa,Com�rcio Atacadista,95052-100,Outros,De 20 a 49,30,,,São José dos Ausentes,São José dos Ausentes
08.616.387/0001-17,COOPERATIVA MISTA DE AGRIC FAM DE ITATI            ,Cooperativa,Atividades de Apoio,95538-000,Outros,De 5 a 9,5,"Bruno Engel Justin                                                                                                                                           , Rodrigo Wolff                                                                                                                                                ","Diretor, Presidente","Osório, Itati, Caxias do Sul","Xangri-Lá, Capão da Canoa, Três Forquilhas, Caxias do Sul"
14.506.106/0001-76,COOPERATIVA  LAGOENSE DE AGRICULTURA               ,Cooperativa,Com�rcio Atacadista,95300-000,Outros,De 1 a 4,1,"Adimir Da Silva                                                                                                                                              , Arivaldes Sasset                                                                                                                                             , Clerio Zwirtes                                                                                                                                               ","Diretor, Presidente, Diretor",Lagoa Vermelha,"Ibiaçá, Muitos Capões, Muliterno, Caseiros"
17.600.767/0001-54,AGROINDUSTRIA KIKORV LTDA ME                       ,Sociedade Qt Ltda,Fabrica��o de Produt,93180-000,Microempresa,0 Empregado,0,"Paulo Ricardo Kickorv                                                                                                                                        , Paulo Kickorv                                                                                                                                                ","Sócio-Administrador, Sócio",Estância Velha,
19.834.864/0001-37,COOPERATIVA MISTA CAMPOS DE VIAMAO LTDA            ,Cooperativa,Com�rcio Atacadista,94750-000,Outros,De 1 a 4,4,"Luis Fernando Santos Carlos                                                                                                                                  , Maicon Tuchtenhagen Ferreira                                                                                                                                 ","Diretor, Presidente","Glorinha, Rio Grande","Imbé, Glorinha, Butiá"
,,,,NA-NA,,,,,,Parobé,Parobé
11.069.140/0001-32,COOPERATIVA MISTA AGROINDUSTRIAL DOS REASSENTADOS ES,Cooperativa,"Abate de Reses, Exce",95380-000,Outros,0 Empregado,0,"Eloir Denilso Vieira Soares                                                                                                                                  , Franciele Dos Santos Almeida                                                                                                                                 ","Presidente, Diretor",Muitos Capões,
,,,,NA-NA,,,,,,Teutônia,
91.949.420/0001-74,VINICOLA FIN LTDA                                  ,Sociedade Qt Ltda,Fabrica��o de Vinho,98855-000,Microempresa,De 1 a 4,1,"Eleana Kruel Diniz Fin                                                                                                                                       , Jorge Fernandes Fin                                                                                                                                          ","Sócio-Administrador, Sócio-Administrador",Santo Antônio das Missões,
04.642.568/0001-67,COOPEG COOP DE PRODUTORES ECOLOGISTAS DE GARIBALDI L,Cooperativa,Fabrica��o de Vinho,95720-000,Microempresa,De 1 a 4,3,"Damian Paulo Chiesa                                                                                                                                          , Jorge Luis Mariani                                                                                                                                           , Sergio Salvi                                                                                                                                                 ","Diretor, Presidente, Diretor",Garibaldi,
,,,,NA-NA,,,,Antonio Ricardo Colombo Sader                                                                                                                                ,Presidente,Taquara,"Taquara, Canela"
91.589.507/0008-54,COOPERATIVA AGROPECUARIA PETROPOLIS LTDA           ,Cooperativa,Com�rcio Varejista d,93990-000,Outros,De 20 a 49,23,,,Morro Reuter,Morro Reuter
14.169.702/0001-08,COOPDE AGRICULT E AGROINDFAMDE CX LT           ,Cooperativa,Com�rcio Atacadista,95074-307,Pequeno Porte,De 10 a 19,11,"Airton Luiz Schwantes                                                                                                                                        , Antonio Barzan                                                                                                                                               , Elisa Salete Menegotto Toscan                                                                                                                                , Jose Antonio Maltauro                                                                                                                                        , Leonar Seefeld                                                                                                                                               , Luciano Zanotti                                                                                                                                              , Marcos Rech                                                                                                                                                  , Rafael Bernardo Potter                                                                                                                                       , Rodrigo Antonio Sirtoli                                                                                                                                      , Samuel Pezzi                                                                                                                                                 , Sandro Luis Finn                                                                                                                                             , Valdir Luis Dallegrave                                                                                                                                       ","Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Presidente, Diretor, Diretor, Diretor","Caxias do Sul, Arroio do Meio, Bento Gonçalves","Flores da Cunha, Caxias do Sul, Bento Gonçalves, Arroio do Meio"
01.526.764/0001-88,COOPERATIVA AECIA DE AGRIC ECOLOGISTAS            ,Cooperativa,Fabrica��o de Sucos,95250-000,Outros,De 1 a 4,2,"Gilmar Pontel                                                                                                                                                , Nilson Camatti                                                                                                                                               , Pio Bernardi                                                                                                                                                 ","Diretor, Presidente, Diretor",Caxias do Sul,
07.775.105/0001-61,COOPERATIVA AGROPECUARIA CENTRO SUL COOPACS LTDA   ,Cooperativa,Com�rcio Atacadista,96190-000,Outros,0 Empregado,0,"Alex Gawlinski                                                                                                                                               , Dalnei Szortyka Kila                                                                                                                                         , Jairo Jose Estanieski                                                                                                                                        , Jui Martins Lopes                                                                                                                                            , Renato Oliveira Stasinski                                                                                                                                    ","Presidente, Diretor, Diretor, Diretor, Diretor",dom Feliciano,
02.672.101/0001-34,COOPERATIVA AGRICOLA NOVA PADUA LTDA               ,Cooperativa,Com�rcio Varejista d,95275-000,Outros,De 5 a 9,8,"Gregorio Munaro                                                                                                                                              , Natalino Bedin                                                                                                                                               ","Diretor, Presidente",Nova Pádua,
18.039.013/0001-30,COOPESMI                                           ,Cooperativa,Pesca em �gua Salgad,96212-740,Outros,0 Empregado,0,"Anadir Serafim Dos Santos                                                                                                                                    , Laudeci Dutra Neves                                                                                                                                          , Louredi Vinagre Borges                                                                                                                                       , Vilson Da Silva Branco                                                                                                                                       ","Diretor, Diretor, Presidente, Diretor",Rio Grande,
88.587.357/0018-07,COOPERATIVA SANTA CLARA LTDA                       ,Cooperativa,Com�rcio Varejista d,95360-000,Outros,De 20 a 49,24,,,Paraí,Paraí
04.582.471/0001-06,VINICOLA SIMONETTO LTDA                           ,Sociedade Qt Ltda,Fabrica��o de Vinho,95330-000,Outros,0 Empregado,0,"Claudionor Simonetto                                                                                                                                         , Dilvana Ines Remor Simonetto                                                                                                                                 ","Sócio-Administrador, Sócio",Veranópolis,
09.378.991/0001-15,COOP MISTA AGROPECUARIA E ECONOMIA SOLIDARIA COOPERS,Cooperativa,Com�rcio Varejista d,98780-765,Outros,De 1 a 4,2,"Fabiana Raquel Bender                                                                                                                                        , Jaime Kreulich                                                                                                                                               ","Presidente, Diretor","Santa Rosa, Três de Maio",Santa Rosa
16.698.837/0001-96,AGROINDUSTRIA PROGRESSO LTDA ME                    ,Sociedade Qt Ltda,"Abate de Su�nos, Ave",98870-000,Microempresa,De 5 a 9,5,"Alexandre Ricardo Grutzmann                                                                                                                                  , Solange Terezinha Grutzmann                                                                                                                                  ","Sócio, Sócio-Administrador",Giruá,
91.022.632/0027-40,COOP AGRIC MISTA NOVA PALMA LTDA                   ,Cooperativa,Com�rcio Varejista d,97220-000,Outros,De 20 a 49,35,,,Faxinal do Soturno,
,,,,NA-NA,,,,,,Guarani das Missões,
10.684.004/0001-90,COOPAF -  SAO FCO DE PAULA                        ,Cooperativa,Com�rcio Atacadista,95400-000,Outros,De 1 a 4,1,"Amarildo Felipe Dos Santos                                                                                                                                   , Antonio Juares Prates Ramos                                                                                                                                  , Elmar Silveira De Souza                                                                                                                                      , Francisco Marco De Mello                                                                                                                                     , Moises Joel Ramos                                                                                                                                            , Romulo Dutra Teixeira                                                                                                                                        ","Diretor, Diretor, Diretor, Presidente, Diretor, Diretor",São Francisco de Paula,São Francisco de Paula
06.942.198/0001-09,INSTITUTO CULTURAL PADRE JOSIMO                    ,Outras Organiza��es,Atividades de Associ,96495-971,Outros,De 5 a 9,9,Sergio Antonio Gorgen                                                                                                                                        ,Presidente,Bacia do rio Jaragu�o,
07.508.742/0001-71,COOPERATIVA DE DESENVOLVIMENTO REGIONAL LTDA       ,Cooperativa,Com�rcio Varejista d,99700-036,Outros,De 1 a 4,3,"Adilso Luis Baroni                                                                                                                                           , Juraci Lucia Zambon Tomicki                                                                                                                                  ","Diretor, Presidente",,Erechim
11.445.065/0001-67,IND COM DE LATICINIOS MOCCELIN LTDA                ,Sociedade Qt Ltda,Fabrica��o de Latic�,99260-000,Microempresa,De 5 a 9,6,Junior Moccelin                                                                                                                                              ,Sócio-Administrador,Casca,Casca
91.589.507/0001-88,COOPERATIVA AGROPECUARIA PETROPOLIS LTDA           ,Cooperativa,Fabrica��o de Latic�,95150-000,Outros,De 500 a 999,618,"Darcisio Inacio Braun                                                                                                                                        , Jeferson Adonias Smaniotto                                                                                                                                   , Rogerio Klering                                                                                                                                              ","Diretor, Presidente, Diretor",Caçapava do Sul,
16.979.506/0001-24,ELIANE LUTZ SANDRIN-ME                             ,Firma Mercantil Indi,Fabrica��o de Massas,95730-000,Microempresa,De 1 a 4,2,,,,Barão
09.238.832/0001-15,COOPERATIVA DE AGRICULTORES FAMILIARES DE SAO MIGUEL,Cooperativa,Prepara��o do Leite,98865-000,Microempresa,0 Empregado,0,"Amalia Edemecia Jung Dos Santos                                                                                                                              , Cesar Marion De Vargas                                                                                                                                       , Dilmar Dos Santos Da Silva                                                                                                                                   , Hilario Jose Copetti                                                                                                                                         , Lucia Ivone Jaskulski                                                                                                                                        , Maria Antonia Da Silva Rodrigues                                                                                                                             , Nadir De Fatima Machado De Lara                                                                                                                              ","Diretor, Diretor, Diretor, Presidente, Diretor, Diretor, Diretor",,São Miguel das Missões
28.740.933/0001-34,DIEHL INDUSTRIA DE PRODUTOS ALIMENTICIOS LTDA EPP  ,Sociedade Qt Ltda,Fabrica��o de Produt,95880-000,Pequeno Porte,0 Empregado,0,"Antonio Diehl                                                                                                                                                , Lauro Jose Diehl                                                                                                                                             ","Sócio-Administrador, Sócio-Administrador",,Estrela
93.298.339/0001-05,ASSOC DESEN COM PROD RURAIS DE MORRO REDONDO   ,Outras Organiza��es,Atividades de Apoio,96150-000,Outros,De 1 a 4,4,Jairo Kuhn                                                                                                                                                   ,Presidente,,Capão do Leão
,,,,NA-NA,,,,,,,Arroio do Tigre
05.777.649/0001-37,COMERCIAL DE EMBUTIDOS HERMES LTDA                 ,Sociedade Qt Ltda,Com�rcio Atacadista,96950-000,Microempresa,De 1 a 4,2,"Olivia Hermes                                                                                                                                                , Wilson Vilmar Hermes                                                                                                                                         ","Sócio-Administrador, Sócio-Administrador",,Arroio do Tigre
05.686.058/0001-54,COOPERATIVA DOS PRODUTORES DE ALECRIM LT           ,Cooperativa,Atividades de Organi,98950-000,Outros,De 5 a 9,7,"Altair Luiz Dias                                                                                                                                             , Vilmar Jose Rambo                                                                                                                                            ","Presidente, Diretor",,Alecrim
89.305.239/0001-83,COOP DOS SUINOCULTORES DE ENCANTADO LTDA           ,Cooperativa,"Abate de Su�nos, Ave",95960-000,Outros,1000 ou Mais,1677,Gilberto Antonio Piccinini                                                                                                                                   ,Presidente,,"Muçum, Encantado"
04.716.885/0001-80,JANIO SCHUNKE                                      ,Firma Mercantil Indi,"Abate de Su�nos, Ave",96930-000,Microempresa,0 Empregado,0,,,,Candelária
20.748.563/0001-70,ROLANTE PESCADOS LTDA ME                           ,Firma Mercantil Indi,Preserva��o do Pesca,95690-000,Microempresa,De 1 a 4,2,"Aline Kohlrausch De Moraes                                                                                                                                   , Renato Valdir Kohlrausch                                                                                                                                     ","Sócio-Administrador, Sócio-Administrador",,Morrinhos do Sul
07.460.374/0001-39,ROGERIO MARCYNSKI                                  ,Firma Mercantil Indi,Fabrica��o de Sucos,99265-000,Microempresa,0 Empregado,0,,,,Santo Antônio do Palma
05.505.903/0001-48,AGROINDUSTRIA LUCCA LTDA                           ,Sociedade Qt Ltda,Fabrica��o de Conser,98640-000,Microempresa,De 1 a 4,4,Dari Lucca                                                                                                                                                   ,Sócio-Administrador,,"Humaitá, São Martinho"
01.112.137/0005-24,COOPERATIVA DOS TRABALHADORES ASSENTADOS DA REGIAO P,Cooperativa,Beneficiamento de Ar,92480-000,Outros,0 Empregado,0,,,,Nova Santa Rita
,,,,NA-NA,,,,,,,Barão do Triunfo
,,,,NA-NA,,,,,,,Trindade do Sul
,,,,NA-NA,,,,,,,Não-Me-Toque
88.587.357/0007-54,COOPERATIVA SANTA CLARA LTDA                       ,Cooperativa,Com�rcio Varejista d,95330-000,Outros,De 10 a 19,17,,,,Vila Flores
